drug,uses
cilnidipine + telmisartan,Treatment of Hypertension (high blood pressure)
oxaceprol, Osteoarthritis Rheumatoid arthritis
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
montelukast,Prevention of AsthmaTreatment of Sneezing and runny nose due to allergies
isotretinoin,Treatment of Acne
terbinafine, Fungal infections
tamsulosin + dutasteride,Treatment of Benign prostatic hyperplasia
olmesartan medoxomil + amlodipine + chlorthalidone, Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
atorvastatin, High cholesterolPrevention of Heart attack
teneligliptin,Treatment of Type 2 diabetes mellitus
hydroquinone + tretinoin + fluocinolone acetonide, Melasma
levetiracetam,Treatment of Epilepsy/Seizures
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
levocetirizine,Treatment of Allergic conditions
tacrolimus, Prevention of organ rejection in transplant patients
thyroxine,Treatment of Hypothyroidism
cilnidipine + telmisartan,Treatment of Hypertension (high blood pressure)
amylmetacresol + dextromethorphan hydrobromide, Dry cough
tamsulosin,Treatment of Benign prostatic hyperplasia
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
olanzapine, SchizophreniaTreatment of Mania
trimetazidine,Treatment of Angina (heart-related chest pain)
tirofiban,Prevention of Heart attack
teneligliptin,Treatment of Type 2 diabetes mellitus
isotretinoin,Treatment of Acne
terbinafine, Fungal skin infections
minoxidil + azelaic acid + tretinoin, Hair loss
ticagrelor, Prevention of heart attack and stroke
isotretinoin,Treatment of Acne
telmisartan + chlorthalidone, Hypertension (high blood pressure)
ticagrelor, Prevention of heart attack and stroke
emtricitabine + tenofovir disoproxil fumarate, HIV infection
telmisartan + amlodipine + chlorthalidone, Hypertension (high blood pressure)
cilnidipine + telmisartan,Treatment of Hypertension (high blood pressure)
divalproex,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine
ambroxol + guaifenesin + terbutaline,Treatment of Cough with mucus
telmisartan + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
terbinafine, Fungal skin infections
tacrolimus,Treatment of Atopic dermatitis
tamsulosin,Treatment of Benign prostatic hyperplasia
ambroxol + guaifenesin + terbutaline,Treatment of Cough with mucus
olmesartan medoxomil + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
bromelain + trypsin + rutoside, Pain relief
levodopa + carbidopa,Treatment of Parkinson's disease
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
etoricoxib, Pain relief
aceclofenac + thiocolchicoside,Treatment of Pain due to muscle spasm
tacrolimus, Prevention of organ rejection in transplant patients
clobetasol + salicylic acid,Treatment of EczemaTreatment of Psoriasis
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
tacrolimus, Prevention of organ rejection in transplant patients
tacrolimus, Prevention of organ rejection in transplant patients
ofloxacin,Treatment of Bacterial infections
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
carboxymethylcellulose + oxychloro complex,Treatment of Dry eyes
thiocolchicoside + aceclofenac + paracetamol,Treatment of Muscular pain
atenolol + chlorthalidone, Hypertension (high blood pressure)
telmisartan + chlorthalidone, Hypertension (high blood pressure)
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
bacillus calmette-guerin,Prevention of Tuberculosis (TB)
telmisartan + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
telmisartan + rosuvastatin, High blood pressure with high cholesterol
minoxidil,Treatment of Hair loss
thyroxine,Treatment of Hypothyroidism
mupirocin,Treatment of Bacterial skin infections
trimetazidine,Treatment of Angina (heart-related chest pain)
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
tadalafil,Treatment of Erectile dysfunction
salmonella typhi vaccine,Prevention of Typhoid fever
silymarin + lecithin, Fatty liver disease
thiocolchicoside + aceclofenac + paracetamol,Treatment of Muscular pain
thalidomide, Multiple myeloma Lepra reaction
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
topiramate, Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
aceclofenac + thiocolchicoside,Treatment of Pain due to muscle spasm
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
cefpodoxime proxetil,Treatment of Bacterial infections
isotretinoin,Treatment of Acne
clobetasol,Treatment of Allergic skin conditions
terbinafine, Fungal infections
montelukast + theophylline,Treatment and prevention of Asthma
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
telmisartan + amlodipine + chlorthalidone, Hypertension (high blood pressure)
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
tulobuterol,Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
sodium valproate + valproic acid, Epilepsy
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
tacrolimus,Treatment of Atopic dermatitis
hydrocortisone,Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders
levetiracetam,Treatment of Epilepsy/Seizures
levetiracetam,Treatment of Epilepsy/Seizures
haloperidol, Schizophrenia
olmesartan medoxomil + amlodipine + chlorthalidone, Hypertension (high blood pressure)
atenolol + chlorthalidone, Hypertension (high blood pressure)
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
terbinafine, Fungal skin infections
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
tacrolimus, Prevention of organ rejection in transplant patients
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
tacrolimus,Treatment of Atopic dermatitis
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
clobetasol + clotrimazole,Treatment of Fungal skin infections
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
tacrolimus,Treatment of Atopic dermatitis
tolterodine,Treatment of Overactive bladder (OAB) symptoms
telmisartan + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
tamsulosin + tolterodine, Benign prostatic hyperplasia
levetiracetam,Treatment of Epilepsy/Seizures
teneligliptin,Treatment of Type 2 diabetes mellitus
teneligliptin,Treatment of Type 2 diabetes mellitus
trimetazidine,Treatment of Angina (heart-related chest pain)
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
tacrolimus,Treatment of Atopic dermatitis
olanzapine, SchizophreniaTreatment of Mania
trifluoperazine,Treatment of Schizophrenia Short term anxiety
terbinafine, Fungal skin infections
tolterodine,Treatment of Overactive bladder (OAB) symptoms
thiocolchicoside, Muscle relaxation
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
tacrolimus, Prevention of organ rejection in transplant patients
levetiracetam,Treatment of Epilepsy/Seizures
telmisartan + chlorthalidone, Hypertension (high blood pressure)
terbinafine + ofloxacin + clobetasol,Treatment of Skin infections
tacrolimus, Prevention of organ rejection in transplant patients
tobramycin + fluorometholone,Treatment of Bacterial eye infections
haloperidol, Schizophrenia
isotretinoin,Treatment of Acne
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
telmisartan + ramipril, Hypertension (high blood pressure)
telmisartan + chlorthalidone, Hypertension (high blood pressure)
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
hydrocortisone + minoxidil + tretinoin,Treatment of Hair loss
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
tranexamic acid,Treatment of Bleeding
clotrimazole,Treatment of Fungal skin infections
timolol, Glaucoma Ocular hypertension
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
metoprolol succinate,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
olmesartan medoxomil + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
terazosin, Hypertension (high blood pressure)
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
sucralfate + oxetacaine,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
tacrolimus,Treatment of Atopic dermatitis
oxcarbazepine, Epilepsy/Seizures
emtricitabine + tenofovir disoproxil fumarate + efavirenz, HIV infection
tacrolimus, Prevention of organ rejection in transplant patients
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
tenofovir disoproxil fumarate,Treatment of Chronic hepatitis B virus (HBV) infectionTreatment of HIV infection
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
terbinafine, Fungal infections
diclofenac + thiocolchicoside + paracetamol,Treatment of Muscular pain
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
atenolol,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
terbinafine + fluticasone propionate,Treatment of Skin infections
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
telmisartan + cilnidipine + chlorthalidone, Hypertension (high blood pressure)
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
terazosin, Hypertension (high blood pressure)
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
drotaverine + ethamsylate + tranexamic acid, Menstrual pain
hydroxocobalamin + vitamin b + folic acid + nicotinamide + inositol + l-lysine, Vitamin & mineral deficiency
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
atorvastatin + ezetimibe, High cholesterol
telmisartan + chlorthalidone, Hypertension (high blood pressure)
atorvastatin + vitamin b, High cholesterol
atorvastatin + vitamin b, High cholesterol
losartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
telmisartan + chlorthalidone, Hypertension (high blood pressure)
glibenclamide + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
hydrocortisone,Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
oxcarbazepine, Epilepsy/Seizures
triamcinolone, Skin conditions with inflammation & itchingTreatment of Rheumatoid arthritisTreatment of Osteoarthritis
levetiracetam,Treatment of Epilepsy/Seizures
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
clobetasol + clotrimazole + fusidic acid,Treatment of Skin infections
tenofovir disoproxil fumarate,Treatment of Chronic hepatitis B virus (HBV) infectionTreatment of HIV infection
telmisartan + chlorthalidone, Hypertension (high blood pressure)
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
tranexamic acid + mefenamic acid,Treatment of Heavy menstrual bleedingTreatment of Menstrual pain
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
benzydamine, Pain relief
testosterone,Treatment of Male hypogonadism
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
telmisartan + chlorthalidone, Hypertension (high blood pressure)
telmisartan + chlorthalidone, Hypertension (high blood pressure)
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
cilnidipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
tiotropium,Treatment of Chronic obstructive pulmonary disease (COPD)
methylcobalamin + pregabalin,Treatment of Neuropathic pain
oxcarbazepine, Epilepsy/Seizures
tacrolimus, Prevention of organ rejection in transplant patients
thiocolchicoside, Muscle relaxation
hydroxypropylmethylcellulose, Dry eyes
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
amorolfine, Fungal nail infections
terbinafine, Fungal skin infections
ticagrelor, Prevention of heart attack and stroke
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
aceclofenac + thiocolchicoside,Treatment of Pain due to muscle spasm
freeze-dried live attenuated hepatitis a vaccine + hepatitis b vaccine, Prevention of Hepatitis A infection Prevention of Hepatitis B infection
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
lactitol + ispaghula,Treatment of Constipation
telmisartan + ramipril, Hypertension (high blood pressure)
telmisartan + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
tranexamic acid + mefenamic acid,Treatment of Heavy menstrual bleedingTreatment of Menstrual pain
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
olmesartan medoxomil + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
olanzapine,Treatment of SchizophreniaTreatment of Mania
telmisartan + chlorthalidone, Hypertension (high blood pressure)
lactulose,Treatment of ConstipationTreatment of Hepatic encephalopathy
atorvastatin, High cholesterolPrevention of Heart attack
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
cilnidipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
telmisartan + chlorthalidone, Hypertension (high blood pressure)
cilnidipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
oxcarbazepine, Epilepsy/Seizures
bromfenac, Post-operative eye pain and inflammation
levetiracetam,Treatment of Epilepsy/Seizures
tacrolimus, Prevention of organ rejection in transplant patients
timolol, Glaucoma Ocular hypertension
olmesartan medoxomil + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
aceclofenac + thiocolchicoside,Treatment of Pain due to muscle spasm
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
clotrimazole,Treatment of Fungal skin infections
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
thalidomide, Multiple myeloma Lepra reaction
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
diclofenac + thiocolchicoside + paracetamol,Treatment of Muscular pain
acitretin, Psoriasis
terbinafine, Fungal infections
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
tadalafil,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
tacrolimus, Prevention of organ rejection in transplant patients
tetanus toxoid,Prevention of Tetanus
topiramate, Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
mometasone + terbinafine,Treatment of Fungal skin infections
atenolol + chlorthalidone, Hypertension (high blood pressure)
tadalafil,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
cilnidipine + metoprolol succinate, Hypertension (high blood pressure)
terbinafine + fluticasone propionate,Treatment of Skin infections
ketoconazole + piroctone olamine,Treatment of Dandruff
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
ketorolac, Post-operative eye pain and inflammation
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
trioxasalen, Vitiligo Psoriasis
mupirocin,Treatment of Bacterial skin infections
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
metoprolol succinate,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
azithromycin,Treatment of AcneTreatment of Bacterial infections
teneligliptin,Treatment of Type 2 diabetes mellitus
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
mometasone + terbinafine,Treatment of Fungal skin infections
itraconazole,Treatment of Fungal infections
cilnidipine + telmisartan,Treatment of Hypertension (high blood pressure)
cilnidipine + telmisartan,Treatment of Hypertension (high blood pressure)
clotrimazole,Treatment of Fungal skin infections
trioxasalen, Vitiligo Psoriasis
teneligliptin,Treatment of Type 2 diabetes mellitus
tenofovir alafenamide,Treatment of Chronic hepatitis B virus (HBV) infection
terbinafine, Fungal skin infections
olmesartan medoxomil + amlodipine + chlorthalidone, Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
thiocolchicoside + diclofenac, Pain due to muscle spasm
travoprost,Treatment of GlaucomaTreatment of Ocular hypertension
polyvinyl alcohol + povidone iodine,Treatment of Dry eyes
terbinafine, Fungal skin infections
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
haloperidol, Schizophrenia
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
tetanus toxoid,Prevention of Tetanus
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
amorolfine, Fungal nail infections
povidone iodine + ornidazole, Wound infection
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
trabectedin, Soft tissue sarcoma
teneligliptin,Treatment of Type 2 diabetes mellitus
paracetamol, Pain reliefTreatment of Fever
timolol + travoprost,Treatment of GlaucomaTreatment of Ocular hypertension
thyroxine,Treatment of Hypothyroidism
thyroxine,Treatment of Hypothyroidism
tenofovir disoproxil fumarate,Treatment of Chronic hepatitis B virus (HBV) infectionTreatment of HIV infection
clobetasol + salicylic acid,Treatment of EczemaTreatment of Psoriasis
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
terbinafine, Fungal skin infections
cilnidipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
metoprolol succinate,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
terbinafine, Fungal skin infections
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
topiramate, Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
terbinafine, Fungal infections
teneligliptin,Treatment of Type 2 diabetes mellitus
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
telmisartan + chlorthalidone, Hypertension (high blood pressure)
doxofylline,Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
terbinafine, Fungal skin infections
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
piperacillin + tazobactum, Bacterial infections
amorolfine, Fungal nail infections
hydroquinone + mometasone + tretinoin,Treatment of Melasma
terbinafine, Fungal skin infections
telmisartan + chlorthalidone, Hypertension (high blood pressure)
teneligliptin,Treatment of Type 2 diabetes mellitus
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
lurasidone, Schizophrenia
tadalafil,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
thyroxine,Treatment of Hypothyroidism
telmisartan + chlorthalidone, Hypertension (high blood pressure)
telmisartan + chlorthalidone, Hypertension (high blood pressure)
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
flavoxate,Treatment of Muscle spasms of the urinary tract
tamsulosin + dutasteride,Treatment of Benign prostatic hyperplasia
tamsulosin,Treatment of Benign prostatic hyperplasia
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ethinyl estradiol + levonorgestrel, Contraception
dapagliflozin,Treatment of Type 2 diabetes mellitus
flavoxate,Treatment of Muscle spasms of the urinary tract
nitrofurantoin,Treatment of Bacterial infections of urinary tract
bethanechol,Treatment of Urinary retention
piroxicam, Pain relief
magaldrate + simethicone + oxetacaine,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers
magaldrate + simethicone, Acidity Stomach ulcers Bloating
coenzyme q + levo-carnitine,Treatment of Nutritional deficiencies
theophylline,Treatment of Chronic obstructive pulmonary disease (COPD)
tadalafil + dapoxetine,Treatment of Premature ejaculation
citric acid + potassium citrate,Treatment of Kidney stone
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
hydroquinone + mometasone + tretinoin,Treatment of Melasma
rosuvastatin + aspirin,Treatment of Prevention of heart attack and stroke
nitrofurantoin,Treatment of Bacterial infections of urinary tract
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
domperidone + pantoprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
clobetasol + salicylic acid + coal tar, Psoriasis
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
tamsulosin + finasteride,Treatment of Benign prostatic hyperplasia
tamsulosin + dutasteride,Treatment of Benign prostatic hyperplasia
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
bethanechol,Treatment of Urinary retention
vitamin d,Treatment of Vitamin D deficiencyTreatment of Osteoporosis
carboxymethylcellulose,Treatment of Dry eyes
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
nitrofurantoin,Treatment of Bacterial infections of urinary tract
tamsulosin,Treatment of Benign prostatic hyperplasia
tamsulosin + dutasteride,Treatment of Benign prostatic hyperplasia
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
tamsulosin,Treatment of Benign prostatic hyperplasia
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
potassium citrate + magnesium citrate + vitamin b,Treatment and prevention of Kidney stone
flavoxate,Treatment of Muscle spasms of the urinary tract
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
domperidone + pantoprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
fluvoxamine, Depression Obsessive-compulsive disorder
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
nitrofurantoin,Treatment of Bacterial infections of urinary tract
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
fluocinolone acetonide, Skin conditions with inflammation & itching
hydroxyprogesterone,Prevention of Premature Labor
flavoxate,Treatment of Muscle spasms of the urinary tract
magaldrate + simethicone, Acidity Stomach ulcers Bloating
tamsulosin,Treatment of Benign prostatic hyperplasia
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
pantoprazole,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
diethylcarbamazine + chlorpheniramine maleate, Parasitic infections
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
fluvoxamine, Depression Obsessive-compulsive disorder
rosuvastatin + aspirin,Treatment of Prevention of heart attack and stroke
fluvoxamine, Depression Obsessive-compulsive disorder
ulipristal acetate, Uterine fibroids
theophylline,Treatment of Chronic obstructive pulmonary disease (COPD)
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
potassium citrate + magnesium citrate + vitamin b,Treatment and prevention of Kidney stone
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
hydroquinone + tretinoin + fluocinolone acetonide, Melasma
ulinastatin,Treatment of Severe sepsisTreatment of Pancreatitis
bilastine,Treatment of Allergic conditions
azithromycin,Treatment of Bacterial infections
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
aspirin + rosuvastatin + clopidogrel, Heart attack
benzocaine + chlorhexidine gluconate,Treatment of Mouth ulcers
rosuvastatin + aspirin,Treatment of Prevention of heart attack and stroke
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
calcitonin, Post menopausal osteoporosis Paget's disease Hypercalcemia
flavoxate,Treatment of Muscle spasms of the urinary tract
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
magaldrate + simethicone, Acidity Stomach ulcers Bloating
